nom,ville
Mus?e National CIRTA,Constantine
Mus?e National Nasr Eddine Dinet de Bou-Sa?da,M sila
Mus?e National de Setif,Setif
Mus?e National des Antiquit,Alger
Mus?e National des Beaux Arts,Alger
Mus?e National ZABANA,Oran
Site de Djemila,Setif
Qal?a des Beni Hammad,M sila
Musee National des Arts  et  Traditions Populaires,Alger
Site de Djemila,Setif
Office national de culture et d'information,Alger
Centre des Arts et de la Culture du Palais des Ra?s (Bastion 23),Alger
Mus?e National du BARDO,Alger
Pont romain,Constantine
Place des martyrs Site Naturel (Adrar) ,Adrar
Places de l'Ind?pendance Site Naturel (Timimoun) ,Adrar
Ksar de Tamentit Centre.Urb.Vivant.(Timimoun) ,Adrar
Casbah de Melouka Monument de Culte Islam (Timimoun) ,Adrar
L'Ancien H?pital d'Adrar Const/Mod. (Adrar) ,Adrar
Mosa?que de l'Eglise ?uvre d'art/Ant. (Chlef) ,Chlef
Ruines romaines de la Kal?a des ouled Abdallah Ruines/Ant. (T?n?s) ,Chlef
Mosqu?e du vieux T?nes Mon.de Culte/Islam. (T?n?s) ,Chlef
Dessins rupestres ?uvres d'art/Pr?Hist. (El Guicha) ,Laghouat
Rocher Fromentin Site Naturel (Laghouat) ,Laghouat
Gravures rupestres Oued Remailia ?uvres d'art / Pr?Hist. (Sidi-Makhlouf) ,Laghouat
El Hasbaia Site / Pr?Hist. (Laghouat) ,Laghouat
Zaouia Tidjania Mon. de culte/Islam (Ain Madhi) ,Laghouat
Centrale ?lectrique diesel de Laghouat Ouvrage/Indust.Mod (Laghouat) ,Laghouat
Dolmens et Cromlechs Mon. Fun/Pr?-.Hist. (Sigus) ,Oum el Bouaghi
Gorges de Tilatou Site naturel (Tilatou) ,Batna
Village de Bouzina Site naturel (Bouzina) ,Batna
Village de Tagoust Site naturel (Tagoust) ,Batna
Village d'Amentane Site naturel (Menaa) ,Batna
Village de Tighanimine Site naturel (Tighanimine) ,Batna
Canon de Rhouffi Site naturel (T'Kout) ,Batna
Ruines de la ville antique de Tobna Ruines/Ant. (Bitam Barika) ,Batna
Mausol?e des Rois numides dit le Medracen Mon.Fun./Ant. (El-Madher) ,Batna
Arc de triomphe de Markouna Mon.Hon/Ant. (Tazoult),Batna
Territoires et monuments de l'antique lambaesis Sites et monuments/Ant. (Tazoult) ,Batna
Territoires et monuments de l'antique Thamugadi Sites et monuments/Ant. (Timgad) ,Batna
Gorges de Foum Ksentina Site naturel (Timgad) ,Batna
Territoires et monuments de l'Antique Diana Veteranorum (Zana) Sites et monuments/Ant. (Ain Djesser) ,Batna
R?serves Igelfen Mon/Ant. (Tigharghar) ,Batna
R?serves de Baloul Mon/Ant. (Tigharghar) ,Batna
Maison Meddour Edifice/Mod. (Arris) ,Batna
Maison de la famille Ba?ziz Edifice/Mod. (Arris) ,Batna
Village de Men?a Site naturel (Men?a) ,Batna
Restes de l'enceinte fortifi?e de la Porte Fouka Ruines/Med. (B?jaia) ,Bejaia
Fort Moussa dit Fort Barral Fortification/Med. (B?jaia) ,Bejaia
Fort de la Casbah Fortification/Med. (B?jaia) ,Bejaia
Porte dor?e ou porte de la mer Mon.d'Acc?s/Med. (B?jaia) ,Bejaia
Corniche Site naturel (Tichy) ,Bejaia
Corniche Site naturel (Aokas) ,Bejaia
Corniche Site naturel Souk (Tenine) ,Bejaia
Maison du Congr?s de la Soummam Mon.Comm?m. (Ouzzelaguen) ,Bejaia
Koubba Sidi-Touati Mon.Fun../Med (B?jaia) ,Bejaia
Remparts Hammadites Fortif./Med. (B?jaia) ,Bejaia
Site de Taklat Site/Ant. (El- Kseur) ,Bejaia
R?serves Romaines Mon/Ant. (El- Kseur) ,Bejaia
Cippe Romain Pierre fun?raire/Ant. (B?jaia) ,Bejaia
Mihrab de la mosqu?e Ibn Toumert Pi?ce. de mon de culte/Islam. (B?jaia) ,Bejaia
Citadelle des Zianides d?nomm?e Lassouar Fortif./Med. (El- Kseur) ,Bejaia
Corniche Site Naturel (B?jaia) ,Bejaia
Restes de thermes Ruines/Ant. (Biskra) ,Biskra
Ruines de Gemellae Ruines/Ant. (M'lili) oinp,Biskra
Porte en bois de la Mosqu?e El?ment (Sidi-Okba) ,Biskra
Gorges et village de Djemina Site naturel (M'Choun?che) ,Biskra
Gorges de M'Chouneche Site naturel (M'Choun?che) ,Biskra
Village de Kebach Site naturel (M'Choun?che) ,Biskra
Gorges de Khenguet Sidi-Nadji Site naturel Khenguet (Sidi-Nadji) ,Biskra
Village Islam Khenguet Sidi-Nadji Ensemble de gravures rupestres autour de Ain-Naga ,Biskra
?uvres d'art/Pr?-.Hist (Ain-Naga) ,Biskra
Borne miliaire de Seba Mgata El?ment de rep?re/Ant (El-Kantara) ,Biskra
Inscription encastr?e dans la porte du caravans?rail Epigraphe/Ant. (El Outaya) ,Biskra
Ruines de l'Amphith??tre Ruines/Ant. (El Outaya) ,Biskra
Pont Romaine Mon./Ant. (El-Kantara) ,Biskra
Collection lapidaire d?pos?e au mus?e de la ville Pi?ces d'?uvres d'art /Ant (El-Kantara) ,Biskra
Gorges d'El Kantara Site naturel (El-Kantara) ,Biskra
